URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","Questionnaire/PatientReportedBaseline,Questionnaire/ClinicalResponseBaseline,Questionnaire/PatientReportedBaselinePortugues","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/iso3166-1-3,4.0.1,active,,Iso3166-1-3,Iso 3166 Part 1: 3 Letter Codes,"This value set defines the ISO 3166 Part 1 3-letter codes","Questionnaire/PatientReportedBaseline,Questionnaire/PatientReportedBaselinePortugues,StructureDefinition/patient","hl7.terminology.r5"
http://ig-ichombreastcancer.gabriellesantosleandro.com/ValueSet/AgreementResponseVS,1.0.0,active,,AgreementResponseVS,Agreement response ValueSet,"Valueset used in a Patient Reported Outcomes Instrument to express the degree of agreement","Questionnaire/PatientReportedBaseline,Questionnaire/PatientReportedFollowUp","Internal"
http://ig-ichombreastcancer.gabriellesantosleandro.com/ValueSet/AxillaSurgeryVS,1.0.0,active,,AxillaSurgeryVS,Axilla surgery ValueSet,"Valueset of surgery types of the axilla","Questionnaire/ClinicalResponseAnnualUpdate,Questionnaire/ClinicalResponseSixMonths","THO (V3),SCT"
http://ig-ichombreastcancer.gabriellesantosleandro.com/ValueSet/BodyWeightVS,1.0.0,active,,BodyWeightVS,Units of patient's body weight ValueSet,"Valueset of the unit  of the patient's body weight","StructureDefinition/ichom-body-weight","UCUM"
http://ig-ichombreastcancer.gabriellesantosleandro.com/ValueSet/BreastSurgeryTypeVS,1.0.0,active,,BreastSurgeryTypeVS,Types of breast surgery ValueSet,"Valueset of the types of breast surgery a patient underwent","Questionnaire/ClinicalResponseAnnualUpdate,Questionnaire/PatientReportedFollowUp,Questionnaire/ClinicalResponseSixMonths,StructureDefinition/breast-cancer-surgery","THO (V3),Internal"
http://ig-ichombreastcancer.gabriellesantosleandro.com/ValueSet/ChemoTherapyTypeVS,1.0.0,active,,ChemoTherapyTypeVS,Type of chemotherapy ValueSet,"Valueset of the types of chemotherapy","Questionnaire/ClinicalResponseAnnualUpdate,Questionnaire/ClinicalResponseSixMonths,StructureDefinition/chemotherapy","THO (V3),SCT"
http://ig-ichombreastcancer.gabriellesantosleandro.com/ValueSet/ComplicationImpactVS,1.0.0,active,,ComplicationImpactVS,Impact of complication ValueSet,"ValueSet of the impact of a complication experienced by the breast cancer patient","StructureDefinition/complication,Questionnaire/ClinicalResponseSixMonths","THO (V3),SCT,Internal"
http://ig-ichombreastcancer.gabriellesantosleandro.com/ValueSet/ComplicationTypeVS,1.0.0,active,,ComplicationTypeVS,Type of complication ValueSet,"ValueSet of the type of complication experienced by the breast cancer patient","StructureDefinition/complication,Questionnaire/ClinicalResponseSixMonths","THO (V3),SCT,Internal"
http://ig-ichombreastcancer.gabriellesantosleandro.com/ValueSet/EducationLevelVS,1.0.0,active,,EducationLevelVS,Education level of patient ValueSet,"Valueset of the education level of a patient","StructureDefinition/EducationLevel,Questionnaire/PatientReportedBaseline,Questionnaire/PatientReportedBaselinePortugues","SCT"
http://ig-ichombreastcancer.gabriellesantosleandro.com/ValueSet/EstrogenStatusVS,1.0.0,active,,EstrogenStatusVS,Estrogen receptor status ValueSet,"Valueset of the Estrogen receptor status","Questionnaire/ClinicalResponseBaseline,StructureDefinition/er-status","THO (V3),SCT"
http://ig-ichombreastcancer.gabriellesantosleandro.com/ValueSet/GermlineMutationVS,1.0.0,active,,GermlineMutationVS,Germline Mutation ValueSet,"Valueset of the genetic mutation predisposing breast cancer","Questionnaire/ClinicalResponseAnnualUpdate,Questionnaire/ClinicalResponseBaseline,StructureDefinition/germline-mutation","THO (V3),SCT"
